Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Yearly_Customer,Monthly_Customer,Daily_Customer,Response
1951,2.0,4,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,2013.0,6.0,11.0,0
1958,0.0,1,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,2013.0,9.0,27.0,0
1970,0.0,1,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,2013.0,4.0,8.0,0
1954,1.0,2,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,2012.0,9.0,11.0,0
1959,0.0,2,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,2013.0,3.0,17.0,0
1952,0.0,2,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,2014.0,4.0,30.0,0
1977,0.0,3,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,2012.0,12.0,19.0,0
1985,0.0,0,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,2012.0,8.0,29.0,0
1973,0.0,2,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,2014.0,5.0,12.0,0
1967,0.0,1,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,2014.0,1.0,21.0,0
1972,1.0,0,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,2014.0,3.0,23.0,0
1983,0.0,2,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,2014.0,5.0,22.0,0
1960,0.0,4,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,2012.0,11.0,22.0,0
1972,0.0,3,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,2013.0,4.0,11.0,0
1983,2.0,2,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,2013.0,6.0,20.0,0
1960,3.0,0,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,2013.0,7.0,23.0,0
1945,2.0,2,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,2013.0,5.0,17.0,0
1964,0.0,2,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,2013.0,9.0,24.0,0
1969,0.0,2,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,2013.0,2.0,2.0,0
1979,0.0,1,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,2013.0,11.0,2.0,0
1962,0.0,0,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,2013.0,9.0,10.0,0
1978,3.0,2,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,2013.0,2.0,19.0,0
1953,1.0,1,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,2013.0,6.0,20.0,0
1965,3.0,1,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,2013.0,2.0,18.0,0
1953,1.0,2,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,2014.0,6.0,8.0,0
1956,2.0,1,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,2014.0,5.0,10.0,0
1958,1.0,5,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,2013.0,3.0,10.0,0
1969,0.0,2,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,2014.0,2.0,10.0,0
1967,2.0,1,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,2013.0,3.0,17.0,0
1959,2.0,2,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,2013.0,7.0,7.0,0
1965,2.0,3,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,2013.0,7.0,28.0,0
1988,0.0,1,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,2013.0,3.0,19.0,0
1976,0.0,2,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,2012.0,10.0,18.0,0
1966,1.0,2,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,2014.0,6.0,21.0,0
1953,1.0,2,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,2014.0,4.0,24.0,0
1969,0.0,2,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,2014.0,3.0,7.0,0
1972,3.0,1,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,2012.0,12.0,14.0,0
1958,0.0,0,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,2013.0,7.0,8.0,0
1977,0.0,1,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,2013.0,10.0,17.0,0
1975,2.0,3,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,2013.0,5.0,1.0,0
1973,2.0,2,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,2014.0,3.0,1.0,0
1953,0.0,3,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,2013.0,11.0,18.0,0
1959,0.0,3,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,2013.0,8.0,28.0,0
1988,0.0,0,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,2013.0,11.0,2.0,0
1957,0.0,1,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,2014.0,2.0,25.0,0
1965,0.0,1,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,2014.0,4.0,21.0,0
1970,0.0,2,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,2014.0,4.0,21.0,0
1967,0.0,0,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,2014.0,4.0,4.0,0
1970,2.0,2,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,2014.0,5.0,23.0,0
1959,0.0,1,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,2014.0,6.0,24.0,0
1976,2.0,2,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,2014.0,5.0,11.0,0
1946,1.0,2,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,2013.0,9.0,28.0,0
1983,0.0,2,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,3,11,2012.0,12.0,5.0,0
1966,0.0,2,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,2013.0,8.0,2.0,0
1964,2.0,2,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,2013.0,2.0,23.0,0
1989,2.0,1,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,3,11,2013.0,5.0,17.0,0
1900,3.0,3,36640.0,1,0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,3,11,2013.0,9.0,26.0,0
1988,0.0,2,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,3,11,2013.0,5.0,30.0,0
1973,0.0,2,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,3,11,2013.0,2.0,18.0,0
1980,1.0,2,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,3,11,2014.0,5.0,13.0,0
1954,0.0,2,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,3,11,2013.0,9.0,19.0,0
1952,0.0,3,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,3,11,2014.0,6.0,29.0,0
1968,0.0,0,75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,3,11,2013.0,12.0,9.0,0
1965,2.0,0,40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,3,11,2013.0,7.0,17.0,0
1988,0.0,1,29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,3,11,2013.0,12.0,8.0,0
1956,0.0,1,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,3,11,2013.0,3.0,31.0,0
1954,0.0,1,77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,3,11,2014.0,3.0,18.0,0
1968,2.0,2,44377.0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,3,11,2012.0,10.0,5.0,0
1985,0.0,2,70951.0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,3,11,2013.0,5.0,4.0,0
1978,3.0,0,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,2014.0,5.0,12.0,0
1954,1.0,4,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,3,11,2013.0,8.0,31.0,0
1970,2.0,1,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,3,11,2014.0,4.0,14.0,0
1962,0.0,3,63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,3,11,2012.0,9.0,8.0,0
1976,0.0,1,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,3,11,2012.0,10.0,25.0,0
1972,2.0,2,79930.0,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,3,11,2012.0,8.0,8.0,0
1971,0.0,1,38590.0,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,3,11,2013.0,5.0,15.0,0
1965,2.0,2,62745.0,0,1,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,3,11,2013.0,3.0,23.0,0
1958,2.0,0,79761.0,0,1,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,3,11,2013.0,10.0,4.0,0
1971,0.0,0,22804.0,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,3,11,2013.0,7.0,31.0,0
1958,0.0,2,61074.0,0,1,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,3,11,2012.0,8.0,17.0,0
1975,1.0,0,31160.0,1,0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,3,11,2013.0,9.0,16.0,0
1985,0.0,0,29938.0,1,0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,3,11,2013.0,10.0,27.0,0
1964,0.0,0,18701.0,1,1,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,3,11,2013.0,6.0,4.0,0
1968,2.0,3,69674.0,0,2,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,3,11,2013.0,5.0,22.0,0
1970,1.0,2,44159.0,1,0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,3,11,2014.0,6.0,17.0,0
1978,2.0,2,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,3,11,2012.0,11.0,23.0,0
1966,1.0,2,38179.0,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,3,11,2013.0,3.0,14.0,0
1963,0.0,2,80124.0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,3,11,2014.0,6.0,26.0,0
1970,0.0,1,22070.0,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,3,11,2013.0,10.0,4.0,0
1975,2.0,1,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,3,11,2014.0,2.0,4.0,0
1963,0.0,3,33378.0,1,1,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,3,11,2013.0,2.0,6.0,0
1963,2.0,1,66313.0,0,1,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,3,11,2013.0,9.0,16.0,0
1968,1.0,3,63841.0,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,3,11,2013.0,4.0,21.0,0
1976,0.0,1,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,3,11,2012.0,10.0,25.0,0
1946,0.0,1,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,2012.0,8.0,31.0,0
1974,2.0,1,65640.0,0,1,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,3,11,2014.0,3.0,1.0,0
1975,1.0,2,44319.0,1,1,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,3,11,2014.0,4.0,17.0,0
1952,0.0,1,75278.0,0,0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,3,11,2013.0,1.0,29.0,0
1956,1.0,1,50898.0,1,1,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,3,11,2013.0,1.0,8.0,0
1966,0.0,4,79946.0,0,0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,3,11,2014.0,5.0,12.0,0
1965,0.0,1,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,3,11,2013.0,3.0,12.0,0
1952,1.0,1,55951.0,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,3,11,2012.0,8.0,23.0,0
1986,1.0,1,42386.0,1,0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,3,11,2013.0,1.0,13.0,0
1982,0.0,0,68627.0,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,3,11,2013.0,1.0,12.0,0
1965,2.0,3,57912.0,0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,3,11,2014.0,3.0,17.0,0
1956,3.0,1,58821.0,0,1,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,3,11,2013.0,10.0,12.0,0
1964,1.0,2,64100.0,0,1,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,3,11,2013.0,9.0,10.0,0
1992,1.0,1,42670.0,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,3,11,2013.0,4.0,27.0,0
1976,0.0,3,12571.0,1,0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,3,11,2014.0,1.0,18.0,0
1966,0.0,2,54198.0,1,1,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,3,11,2013.0,12.0,17.0,0
1956,1.0,1,28839.0,1,1,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,3,11,2014.0,3.0,11.0,0
1985,0.0,0,66503.0,1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,3,11,2012.0,8.0,14.0,0
1953,0.0,0,40464.0,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,3,11,2013.0,1.0,11.0,0
1950,2.0,2,54432.0,2,1,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,3,11,2013.0,5.0,9.0,0
1983,0.0,0,24072.0,1,0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,3,11,2013.0,4.0,16.0,0
1989,2.0,0,33996.0,0,0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,3,11,2013.0,9.0,11.0,0
1983,0.0,1,22010.0,1,0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,3,11,2013.0,6.0,30.0,0
1960,0.0,3,62204.0,0,2,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,3,11,2012.0,9.0,12.0,0
1988,0.0,0,68655.0,0,0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,3,11,2012.0,8.0,10.0,0
1950,2.0,1,59292.0,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,3,11,2013.0,6.0,13.0,0
1965,0.0,2,44300.0,1,1,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,3,11,2013.0,6.0,23.0,0
1976,1.0,2,33181.0,1,0,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,3,11,2014.0,1.0,3.0,0
1957,0.0,2,71113.0,0,1,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,3,11,2013.0,12.0,17.0,0
1976,2.0,0,60000.0,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,3,11,2012.0,12.0,22.0,0
1978,0.0,0,38643.0,1,1,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,3,11,2013.0,11.0,29.0,0
1955,0.0,2,50737.0,0,1,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,3,11,2013.0,5.0,11.0,0
1969,2.0,4,62187.0,0,1,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,3,11,2014.0,3.0,22.0,0
1978,0.0,2,28442.0,2,0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,3,11,2014.0,2.0,24.0,0
1978,2.0,2,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,3,11,2012.0,11.0,23.0,0
1967,0.0,2,51479.0,1,1,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,3,11,2012.0,12.0,28.0,0
1984,3.0,2,35684.0,1,0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,3,11,2014.0,4.0,22.0,0
1975,0.0,2,48178.0,1,1,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,3,11,2012.0,10.0,28.0,0
1970,1.0,0,29548.0,1,0,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,3,11,2013.0,8.0,29.0,0
1989,0.0,0,30279.0,1,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,3,11,2012.0,12.0,30.0,0
1969,0.0,0,30822.0,1,0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,3,11,2013.0,6.0,14.0,0
1985,0.0,2,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,3,11,2013.0,11.0,14.0,0
1954,0.0,4,27421.0,0,0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,3,11,2012.0,12.0,12.0,0
1971,0.0,0,10245.0,1,0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,3,11,2013.0,5.0,15.0,0
1979,1.0,1,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,3,11,2013.0,12.0,9.0,0
1993,0.0,0,74293.0,0,0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,3,11,2014.0,5.0,4.0,0
1946,2.0,2,51012.0,0,0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,3,11,2013.0,4.0,18.0,0
1968,1.0,2,70777.0,0,1,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,3,11,2014.0,2.0,25.0,0
1965,0.0,1,75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,3,11,2012.0,9.0,27.0,0
1974,0.0,0,42373.0,1,1,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,3,11,2013.0,8.0,15.0,0
1965,0.0,2,48006.0,1,1,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,3,11,2014.0,6.0,9.0,0
1971,2.0,3,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,3,11,2014.0,5.0,30.0,0
1976,0.0,2,53858.0,0,1,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,3,11,2012.0,11.0,9.0,0
1975,3.0,1,19789.0,1,0,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,3,11,2013.0,11.0,20.0,0
1971,1.0,2,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,3,11,2013.0,3.0,5.0,0
1983,0.0,2,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,2014.0,5.0,22.0,0
1953,0.0,2,48686.0,1,2,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,2013.0,12.0,4.0,0
1989,0.0,2,75433.0,1,0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,3,11,2014.0,4.0,5.0,0
1989,3.0,1,10404.0,1,0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,3,11,2014.0,5.0,4.0,0
